Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
2,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
3,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
4,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
5,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
6,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
7,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
8,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
9,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
10,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
11,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
12,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
13,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
14,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
15,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
16,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
17,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
18,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
19,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
20,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
21,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
22,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
23,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
24,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
25,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
26,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
27,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
28,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
29,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
30,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
31,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
32,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
33,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
34,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
35,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
36,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
37,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
38,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
39,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
40,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
41,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
42,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
43,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
44,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
45,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
46,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
47,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
48,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
49,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
50,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
51,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
52,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
53,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
54,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
55,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
56,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
57,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
58,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
59,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
60,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
61,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
62,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
63,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
64,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
65,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
66,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
67,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
68,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
69,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
70,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
71,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
72,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
73,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
74,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
75,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
76,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
77,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
78,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
79,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
80,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
81,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
82,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
83,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
84,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
85,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
86,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
87,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
88,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
89,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
90,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
91,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
92,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
93,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
94,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
95,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
96,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
97,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
98,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
99,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
100,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
101,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
102,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
103,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
104,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
105,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
106,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
107,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
108,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
109,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
110,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
111,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
112,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
113,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
114,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
115,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
116,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
117,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
118,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
119,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
120,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
121,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1058.5,Success,24 January 2021,15:00
